Team,Mrg,Y_PNL,E_PNL,O_PNL,I_PNL,T_PNL,PL_D10U5,PL_U5U3,PinPout,Actual,ExpOptVal,With_Exch
JAI,360.7,410.01,401.139,-158.767,165.046,-8.870999999999999,13082.0,-1671.0,482.0,465.0,-2.0,1835.0
HDO,331.5,613.84,577.405,-237.953,210.184,-36.434999999999995,17800.0,-917.0,-17.0,-13.0,13.0,3350.0
DEL,116.6,94.06,112.759,-35.56,54.167,18.699,15.0,-100.0,94.0,-539.0,-555.0,-577.0
JAS,84.5,240.89,246.07199999999997,-43.762,51.129,5.1819999999999995,719.0,-384.0,21.0,17.0,-3.0,501.0
NAS,44.3,133.85,140.308,-0.8650000000000002,7.321999999999999,6.458,1022.0,-86.0,29.0,34.0,0.0,786.0
JPT,41.1,65.11,50.902,-74.39,60.204,-14.208,9825.0,1537.0,-197.0,-197.0,0.0,368.0
VIK,39.7,80.9,100.962,29.409,-9.347,20.062,460.0,47.0,233.0,236.0,0.0,347.0
KAL,38.9,47.34,33.188,-14.488999999999999,0.30899999999999994,-14.152,260.0,-221.0,15.0,15.0,0.0,50.0
SHR,35.3,20.52,25.278999999999996,0.0,4.756,4.759,4320.0,240.0,21.0,21.0,0.0,16.0
KPT,34.9,50.05,99.386,17.128,32.208,49.336,658.0,-185.0,87.0,87.0,0.0,196.0
NAI,34.6,18.93,27.18,-1.1260000000000003,9.377,8.25,2745.0,194.0,176.0,176.0,0.0,502.0
VIY,32.9,24.96,23.652,-9.817,8.686,-1.308,2690.0,-345.0,1.0,1.0,0.0,44.0
HEO,31.4,27.450000000000003,26.734,-2.221,1.505,-0.716,0.0,36.0,0.0,0.0,0.0,0.0
VEO,28.8,54.43,61.932,-32.377,39.878,7.502000000000001,-263.0,-541.0,-13.0,-13.0,0.0,169.0
KAR,28.7,19.64,24.353,0.0,4.713,4.713,0.0,0.0,5.0,5.0,0.0,0.0
MUK,24.5,9.86,14.629999999999999,0.0,4.7700000000000005,4.7700000000000005,0.0,0.0,5.0,5.0,0.0,0.0
NAV,21.400000000000002,74.69,73.718,-21.106,20.134,-0.9719999999999998,-358.0,-85.0,-67.0,-67.0,0.0,89.0
HEC,19.2,0.5,-1.286,-4.188000000000001,2.403,-1.786,0.0,16.0,0.0,0.0,0.0,0.0
NAF,15.799999999999999,24.32,23.455000000000002,-4.241,3.377,-0.8650000000000001,671.0,79.0,-14.0,-14.0,0.0,107.0
HDC,14.9,30.509999999999998,27.034,-23.046,19.59,-3.476,1772.0,157.0,-52.0,-52.0,0.0,85.0
VIP,13.5,171.38,155.728,0.0,-15.652,-15.652,-523.0,-274.0,21.0,21.0,0.0,37.0
SIO,11.8,-96.62,-206.14600000000002,-33.426,-76.096,-109.526,371.0,-269.0,-126.0,-126.0,0.0,7.0
SIC,6.300000000000001,-54.5,-116.618,-17.63,-44.491,-62.118,153.0,-133.0,-33.0,-33.0,0.0,0.0
VEC,5.8,7.48,8.783000000000001,-6.929,8.232,1.3030000000000002,-82.0,-145.0,-7.0,-7.0,0.0,14.0
VSS,4.2,-10.5,-9.759,-6.598,7.339,0.7409999999999999,117.0,-21.0,3.0,3.0,0.0,-28.0
KKD,4.1,21.05,18.523000000000003,0.319,-2.846,-2.527,0.0,-34.0,-3.0,-3.0,0.0,0.0
KKC,2.4,9.57,8.778,0.355,-1.147,-0.792,0.0,-34.0,-1.0,-1.0,0.0,0.0
BKC,1.4,0.74,0.606,0.0,-0.134,-0.134,0.0,-5.0,0.0,0.0,0.0,0.0
SIX,0.9,-0.67,0.6900000000000001,1.137,0.222,1.36,9.0,-4.0,-1.0,-1.0,0.0,19.0
SIA,0.4,-6.57,-13.438,-1.907,-4.961,-6.868,24.0,-15.0,-8.0,-8.0,0.0,0.0
KLC,0.1,0.26999999999999996,0.13600000000000007,0.018999999999999996,-0.153,-0.134,-7.0,2.0,0.0,0.0,0.0,-1.0
RON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIM,0.0,-4.41,-3.741,0.0,0.669,0.669,0.0,0.0,1.0,1.0,0.0,0.0
GQS,0.0,18.62,17.085,0.0,-1.5350000000000001,-1.5350000000000001,0.0,0.0,-1.0,-1.0,0.0,0.0
GQO,0.0,39.08,40.671,0.0,1.5910000000000002,1.5910000000000002,0.0,0.0,2.0,2.0,0.0,0.0
GQC,0.0,11.23,9.628,0.0,-1.6019999999999999,-1.6019999999999999,0.0,0.0,0.0,0.0,0.0,0.0
LIC,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,3.0,0.0,0.0,0.0,0.0
